dataset_id,data_type,standard,final_score,SYN_weight,SYN_score,SYN_weighted,STR_weight,STR_score,STR_weighted,CMP_weight,CMP_score,CMP_weighted,CST_weight,CST_score,CST_weighted,ACC_weight,ACC_score,ACC_weighted,SEC_weight,SEC_score,SEC_weighted
csvw_dialect,csv,W3C CSVW + ISO/IEC 25012,100.0,0.25,100.0,25.0,0.25,100.0,25.0,0.2,100.0,20.0,0.15,100.0,15.0,0.1,100.0,10.0,0.05,100.0,5.0
csv_spectrum_edges,csv,W3C CSVW + ISO/IEC 25012,100.0,0.25,100.0,25.0,0.25,100.0,25.0,0.2,100.0,20.0,0.15,100.0,15.0,0.1,100.0,10.0,0.05,100.0,5.0
gdelt_events,csv,W3C CSVW + ISO/IEC 25012,93.76,0.25,88.66,22.16,0.25,86.38,21.59,0.2,100.0,20.0,0.15,100.0,15.0,0.1,100.0,10.0,0.05,100.0,5.0
openfda_drug_event,json,JSON Schema Draft 2020-12 + RFC 8259,93.36,0.3,80.39,24.12,0.25,100.0,25.0,0.15,94.93,14.24,0.15,100.0,15.0,0.1,100.0,10.0,0.05,100.0,5.0
sec_edgar,json,JSON Schema Draft 2020-12 + RFC 8259,96.25,0.3,100.0,30.0,0.25,100.0,25.0,0.15,100.0,15.0,0.15,75.0,11.25,0.1,100.0,10.0,0.05,100.0,5.0
gharchive,json,JSON Schema Draft 2020-12 + RFC 8259,73.17,0.3,80.0,24.0,0.25,66.67,16.67,0.15,66.67,10.0,0.15,50.0,7.5,0.1,100.0,10.0,0.05,100.0,5.0
usgs_geojson,geojson,RFC 7946 (GeoJSON),100.0,0.2,100.0,20.0,0.25,100.0,25.0,0.2,100.0,20.0,0.15,100.0,15.0,0.15,100.0,15.0,0.05,100.0,5.0
osm_overpass,osm,OSM XML/PBF Specification,92.07,0.15,100.0,15.0,0.25,100.0,25.0,0.25,68.26,17.07,0.15,100.0,15.0,0.15,100.0,15.0,0.05,100.0,5.0
stackexchange_xml,xml,W3C XML Schema (XSD 1.1),96.71,0.25,100.0,25.0,0.3,100.0,30.0,0.15,78.1,11.71,0.15,100.0,15.0,0.1,100.0,10.0,0.05,100.0,5.0
nyc_tlc,parquet,Apache Parquet Format Spec + ISO/IEC 25012,99.42,0.1,100.0,10.0,0.3,100.0,30.0,0.25,100.0,25.0,0.15,100.0,15.0,0.15,96.1,14.42,0.05,100.0,5.0
open_targets,parquet,Apache Parquet Format Spec + ISO/IEC 25012,92.86,0.1,100.0,10.0,0.3,76.19,22.86,0.25,100.0,25.0,0.15,100.0,15.0,0.15,100.0,15.0,0.05,100.0,5.0
uci_online_retail,xlsx,ISO/IEC 29500 (OOXML) + ISO/IEC 25012,82.48,0.15,0.0,0.0,0.25,90.62,22.66,0.25,99.99,25.0,0.15,98.85,14.83,0.15,100.0,15.0,0.05,100.0,5.0
worldbank_wdi,xlsx,ISO/IEC 29500 (OOXML) + ISO/IEC 25012,72.89,0.15,0.0,0.0,0.25,98.21,24.55,0.25,53.33,13.33,0.15,100.0,15.0,0.15,100.0,15.0,0.05,100.0,5.0
noaa_ghcn,fixed_width,Domain Spec (NOAA GHCN) + ISO/IEC 25012,100.0,0.3,100.0,30.0,0.25,100.0,25.0,0.2,100.0,20.0,0.1,100.0,10.0,0.1,100.0,10.0,0.05,100.0,5.0
loghub_apache,txt_log,Syslog RFC 5424 + ISO/IEC 25012,93.7,0.3,100.0,30.0,0.2,68.5,13.7,0.15,100.0,15.0,0.15,100.0,15.0,0.15,100.0,15.0,0.05,100.0,5.0
wikimedia_pageviews,txt_log,Syslog RFC 5424 + ISO/IEC 25012,80.0,0.3,33.33,10.0,0.2,100.0,20.0,0.15,100.0,15.0,0.15,100.0,15.0,0.15,100.0,15.0,0.05,100.0,5.0
